game_number,winner,moves
2,Draw,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Nxe4 Re1 Nd6 Nxe5 Be7 Bf1 Nxe5 Rxe5 O-O d4 Bf6 Re1 Re8 Nc3 Rxe1 Qxe1 Bxd4 Bf4 Ne8 Nd5 d6 Bg5 f6 Qe4 fxg5 Bc4 Kh8 Bd3 Bf5 Qxf5 Nf6 g3 c6 Nxf6 g6 Qxg5 Qxf6 Qxf6+ Bxf6 Kg2 Re8 Rd1 d5 b3 Kg7 h4 h6 c4 Rd8 Be2 dxc4 Rxd8 Bxd8 Bxc4 Kf6 Be2 g5 hxg5+ hxg5 Bg4 Ke5 Kf3 Kd4 Bc8 b6 Bb7 Kc5 Ke4 b5 Ba8 Kb6 f4 gxf4 gxf4 a6 Ke5 Bc7+ Ke4 Bd8 Ke5 Bc7+ Ke4 Bd8 Ke5 Bc7+ Ke4 Bd8 Ke5 Bc7+ Ke4 Bd8
3,Draw,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6 c3 Bc5 Bc2 O-O Nbd2 Bf5 Nb3 Bg6 Nfd4 Bxd4 Nxd4 Qd7 f4 Nxd4 cxd4 f6 Be3 Rad8 Qe1 Ng3 Qxg3 Bxc2 Rac1 Bd3 Rf2 Rc8 Bd2 Be4 Bb4 Rf7 h3 Re8 Ba5 Rc8 Bb4 Re8 Ba5 Rc8 Rc5 fxe5 dxe5 c6 Bc3 Re8 Bd4 Re6 b4 Rg6 Qh4 Rh6 Qg4 Rf5 Rc3 Rg6 Qe2 h5 Ra3 Qe8 Re3 h4 Rxe4 dxe4 Qxe4 Rgf6 Bb6 Rf7 e6 R7f6 e7 Kf7 Re2 Rxf4 Qb1 Re6 Rxe6 Kxe6 Bc5 g6 Qb3+ Kf6 Qb2+ Kf7 Qb3+ Kf6 Qc3+ Kf7 Qb3+ Kf6 Qc3+ Kf7 Qb3+ Rc4 Qf3+ Ke6 Qe3+ Kf7 Qf2+ Ke6 Qe2+ Kf7 Qf2+ Ke6 Qe2+ Kf6 Qf3+ Ke6 Qe2+ Kf6 Qf3+ Ke6 Qe3+ Kd7 Qd2+ Ke6 Qe3+ Kd7 Qd3+ Kc8 Qa3 Re4 Qxa6+ Kd7 Qb6 Qa8 a4 bxa4 b5 Re6 Bb4 cxb5 Qd4+ Kc6 Qc5+ Kd7 Qd4+ Kc6 Qc5+ Kd7 Qd4+ Kc6 Qc5+ Kd7 Qd4+ Kc6 Qc5+ Kd7 Qd4+
4,Draw,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Nxe4 Re1 Nd6 Nxe5 Be7 Bf1 Nxe5 Rxe5 O-O d4 Bf6 Re1 Re8 Nc3 Rxe1 Qxe1 Bxd4 Bf4 Ne8 Nd5 d6 Bg5 f6 Qe4 fxg5 Bc4 Kh8 Bd3 Bf5 Qxf5 Nf6 Nxf6 g6 Qxg5 Qxf6 Qxf6+ Bxf6 Re1 Kg8 g3 Kf7 b4 a6 c4 Bc3 Rb1 Ke6 Kg2 Ke5 h4 a5 bxa5 Kd4 Be2 Rxa5 Rxb7 Rxa2 Kf1 Ra1+ Kg2 Ra2 Kf1 Ra1+ Kg2 Ra2 Kf1 Ra1+ Kg2 Ra2 Kf1 Ra1+ Kg2 Ra2
